@RELATION "Short sentence similarity"

@ATTRIBUTE similar {yes, no}
@ATTRIBUTE diff_Tag_CC NUMERIC
@ATTRIBUTE diff_Tag_DT NUMERIC
@ATTRIBUTE diff_Tag_EX NUMERIC
@ATTRIBUTE diff_Tag_FW NUMERIC
@ATTRIBUTE diff_Tag_IN NUMERIC
@ATTRIBUTE diff_Tag_JJ NUMERIC
@ATTRIBUTE diff_Tag_JJR NUMERIC
@ATTRIBUTE diff_Tag_JJS NUMERIC
@ATTRIBUTE diff_Tag_LS NUMERIC
@ATTRIBUTE diff_Tag_MD NUMERIC
@ATTRIBUTE diff_Tag_NN NUMERIC
@ATTRIBUTE diff_Tag_NNS NUMERIC
@ATTRIBUTE diff_Tag_NNP NUMERIC
@ATTRIBUTE diff_Tag_NNPS NUMERIC
@ATTRIBUTE diff_Tag_PDT NUMERIC
@ATTRIBUTE diff_Tag_POS NUMERIC
@ATTRIBUTE diff_Tag_PRP NUMERIC
@ATTRIBUTE diff_Tag_PRP$ NUMERIC
@ATTRIBUTE diff_Tag_RB NUMERIC
@ATTRIBUTE diff_Tag_RBR NUMERIC
@ATTRIBUTE diff_Tag_RBS NUMERIC
@ATTRIBUTE diff_Tag_RP NUMERIC
@ATTRIBUTE diff_Tag_SYM NUMERIC
@ATTRIBUTE diff_Tag_TO NUMERIC
@ATTRIBUTE diff_Tag_UH NUMERIC
@ATTRIBUTE diff_Tag_VB NUMERIC
@ATTRIBUTE diff_Tag_VBD NUMERIC
@ATTRIBUTE diff_Tag_VBG NUMERIC
@ATTRIBUTE diff_Tag_VBN NUMERIC
@ATTRIBUTE diff_Tag_VBP NUMERIC
@ATTRIBUTE diff_Tag_VBZ NUMERIC
@ATTRIBUTE diff_Tag_WDT NUMERIC
@ATTRIBUTE diff_Tag_WRB NUMERIC
@ATTRIBUTE semSim_Tag_NN NUMERIC
@ATTRIBUTE semSim_Tag_NNS NUMERIC
@ATTRIBUTE semSim_Tag_NNP NUMERIC
@ATTRIBUTE semSim_Tag_NNPS NUMERIC
@ATTRIBUTE semSim_Tag_VB NUMERIC
@ATTRIBUTE semSim_Tag_VBD NUMERIC
@ATTRIBUTE semSim_Tag_VBG NUMERIC
@ATTRIBUTE semSim_Tag_VBN NUMERIC
@ATTRIBUTE semSim_Tag_VBP NUMERIC
@ATTRIBUTE semSim_Tag_VBZ NUMERIC
@ATTRIBUTE lexSim_Tag_CC NUMERIC
@ATTRIBUTE lexSim_Tag_DT NUMERIC
@ATTRIBUTE lexSim_Tag_EX NUMERIC
@ATTRIBUTE lexSim_Tag_FW NUMERIC
@ATTRIBUTE lexSim_Tag_IN NUMERIC
@ATTRIBUTE lexSim_Tag_JJ NUMERIC
@ATTRIBUTE lexSim_Tag_JJR NUMERIC
@ATTRIBUTE lexSim_Tag_JJS NUMERIC
@ATTRIBUTE lexSim_Tag_LS NUMERIC
@ATTRIBUTE lexSim_Tag_MD NUMERIC
@ATTRIBUTE lexSim_Tag_NN NUMERIC
@ATTRIBUTE lexSim_Tag_NNS NUMERIC
@ATTRIBUTE lexSim_Tag_NNP NUMERIC
@ATTRIBUTE lexSim_Tag_NNPS NUMERIC
@ATTRIBUTE lexSim_Tag_PDT NUMERIC
@ATTRIBUTE lexSim_Tag_POS NUMERIC
@ATTRIBUTE lexSim_Tag_PRP NUMERIC
@ATTRIBUTE lexSim_Tag_PRP$ NUMERIC
@ATTRIBUTE lexSim_Tag_RB NUMERIC
@ATTRIBUTE lexSim_Tag_RBR NUMERIC
@ATTRIBUTE lexSim_Tag_RBS NUMERIC
@ATTRIBUTE lexSim_Tag_RP NUMERIC
@ATTRIBUTE lexSim_Tag_SYM NUMERIC
@ATTRIBUTE lexSim_Tag_TO NUMERIC
@ATTRIBUTE lexSim_Tag_UH NUMERIC
@ATTRIBUTE lexSim_Tag_VB NUMERIC
@ATTRIBUTE lexSim_Tag_VBD NUMERIC
@ATTRIBUTE lexSim_Tag_VBG NUMERIC
@ATTRIBUTE lexSim_Tag_VBN NUMERIC
@ATTRIBUTE lexSim_Tag_VBP NUMERIC
@ATTRIBUTE lexSim_Tag_VBZ NUMERIC
@ATTRIBUTE lexSim_Tag_WDT NUMERIC
@ATTRIBUTE lexSim_Tag_WRB NUMERIC
@ATTRIBUTE diffNouns NUMERIC
@ATTRIBUTE semSimNouns NUMERIC
@ATTRIBUTE lexSimNouns NUMERIC
@ATTRIBUTE diffVerbs NUMERIC
@ATTRIBUTE semSimVerbs NUMERIC
@ATTRIBUTE lexSimVerbs NUMERIC
@ATTRIBUTE diff_Dep_auxpass NUMERIC
@ATTRIBUTE semSim_Dep_auxpass NUMERIC
@ATTRIBUTE lexSim_Dep_auxpass NUMERIC
@ATTRIBUTE diff_Dep_cop NUMERIC
@ATTRIBUTE semSim_Dep_cop NUMERIC
@ATTRIBUTE lexSim_Dep_cop NUMERIC
@ATTRIBUTE diff_Dep_conj NUMERIC
@ATTRIBUTE semSim_Dep_conj NUMERIC
@ATTRIBUTE lexSim_Dep_conj NUMERIC
@ATTRIBUTE diff_Dep_cc NUMERIC
@ATTRIBUTE semSim_Dep_cc NUMERIC
@ATTRIBUTE lexSim_Dep_cc NUMERIC
@ATTRIBUTE diff_Dep_nsubj NUMERIC
@ATTRIBUTE semSim_Dep_nsubj NUMERIC
@ATTRIBUTE lexSim_Dep_nsubj NUMERIC
@ATTRIBUTE diff_Dep_csubj NUMERIC
@ATTRIBUTE semSim_Dep_csubj NUMERIC
@ATTRIBUTE lexSim_Dep_csubj NUMERIC
@ATTRIBUTE diff_Dep_dobj NUMERIC
@ATTRIBUTE semSim_Dep_dobj NUMERIC
@ATTRIBUTE lexSim_Dep_dobj NUMERIC
@ATTRIBUTE diff_Dep_iobj NUMERIC
@ATTRIBUTE semSim_Dep_iobj NUMERIC
@ATTRIBUTE lexSim_Dep_iobj NUMERIC
@ATTRIBUTE diff_Dep_pobj NUMERIC
@ATTRIBUTE semSim_Dep_pobj NUMERIC
@ATTRIBUTE lexSim_Dep_pobj NUMERIC
@ATTRIBUTE diff_Dep_attr NUMERIC
@ATTRIBUTE semSim_Dep_attr NUMERIC
@ATTRIBUTE lexSim_Dep_attr NUMERIC
@ATTRIBUTE diff_Dep_ccomp NUMERIC
@ATTRIBUTE semSim_Dep_ccomp NUMERIC
@ATTRIBUTE lexSim_Dep_ccomp NUMERIC
@ATTRIBUTE diff_Dep_xcomp NUMERIC
@ATTRIBUTE semSim_Dep_xcomp NUMERIC
@ATTRIBUTE lexSim_Dep_xcomp NUMERIC
@ATTRIBUTE diff_Dep_mark NUMERIC
@ATTRIBUTE semSim_Dep_mark NUMERIC
@ATTRIBUTE lexSim_Dep_mark NUMERIC
@ATTRIBUTE diff_Dep_rel NUMERIC
@ATTRIBUTE semSim_Dep_rel NUMERIC
@ATTRIBUTE lexSim_Dep_rel NUMERIC
@ATTRIBUTE diff_Dep_acomp NUMERIC
@ATTRIBUTE semSim_Dep_acomp NUMERIC
@ATTRIBUTE lexSim_Dep_acomp NUMERIC
@ATTRIBUTE diff_Dep_agent NUMERIC
@ATTRIBUTE semSim_Dep_agent NUMERIC
@ATTRIBUTE lexSim_Dep_agent NUMERIC
@ATTRIBUTE diff_Dep_ref NUMERIC
@ATTRIBUTE semSim_Dep_ref NUMERIC
@ATTRIBUTE lexSim_Dep_ref NUMERIC
@ATTRIBUTE diff_Dep_expl NUMERIC
@ATTRIBUTE semSim_Dep_expl NUMERIC
@ATTRIBUTE lexSim_Dep_expl NUMERIC
@ATTRIBUTE diff_Dep_advcl NUMERIC
@ATTRIBUTE semSim_Dep_advcl NUMERIC
@ATTRIBUTE lexSim_Dep_advcl NUMERIC
@ATTRIBUTE diff_Dep_purpcl NUMERIC
@ATTRIBUTE semSim_Dep_purpcl NUMERIC
@ATTRIBUTE lexSim_Dep_purpcl NUMERIC
@ATTRIBUTE diff_Dep_tmod NUMERIC
@ATTRIBUTE semSim_Dep_tmod NUMERIC
@ATTRIBUTE lexSim_Dep_tmod NUMERIC
@ATTRIBUTE diff_Dep_rcmod NUMERIC
@ATTRIBUTE semSim_Dep_rcmod NUMERIC
@ATTRIBUTE lexSim_Dep_rcmod NUMERIC
@ATTRIBUTE diff_Dep_amod NUMERIC
@ATTRIBUTE semSim_Dep_amod NUMERIC
@ATTRIBUTE lexSim_Dep_amod NUMERIC
@ATTRIBUTE diff_Dep_infmod NUMERIC
@ATTRIBUTE semSim_Dep_infmod NUMERIC
@ATTRIBUTE lexSim_Dep_infmod NUMERIC
@ATTRIBUTE diff_Dep_partmod NUMERIC
@ATTRIBUTE semSim_Dep_partmod NUMERIC
@ATTRIBUTE lexSim_Dep_partmod NUMERIC
@ATTRIBUTE diff_Dep_num NUMERIC
@ATTRIBUTE semSim_Dep_num NUMERIC
@ATTRIBUTE lexSim_Dep_num NUMERIC
@ATTRIBUTE diff_Dep_number NUMERIC
@ATTRIBUTE semSim_Dep_number NUMERIC
@ATTRIBUTE lexSim_Dep_number NUMERIC
@ATTRIBUTE diff_Dep_appos NUMERIC
@ATTRIBUTE semSim_Dep_appos NUMERIC
@ATTRIBUTE lexSim_Dep_appos NUMERIC
@ATTRIBUTE diff_Dep_advmod NUMERIC
@ATTRIBUTE semSim_Dep_advmod NUMERIC
@ATTRIBUTE lexSim_Dep_advmod NUMERIC
@ATTRIBUTE diff_Dep_neg NUMERIC
@ATTRIBUTE semSim_Dep_neg NUMERIC
@ATTRIBUTE lexSim_Dep_neg NUMERIC
@ATTRIBUTE diff_Dep_poss NUMERIC
@ATTRIBUTE semSim_Dep_poss NUMERIC
@ATTRIBUTE lexSim_Dep_poss NUMERIC
@ATTRIBUTE diff_Dep_possessive NUMERIC
@ATTRIBUTE semSim_Dep_possessive NUMERIC
@ATTRIBUTE lexSim_Dep_possessive NUMERIC
@ATTRIBUTE diff_Dep_prt NUMERIC
@ATTRIBUTE semSim_Dep_prt NUMERIC
@ATTRIBUTE lexSim_Dep_prt NUMERIC
@ATTRIBUTE diff_Dep_det NUMERIC
@ATTRIBUTE semSim_Dep_det NUMERIC
@ATTRIBUTE lexSim_Dep_det NUMERIC
@ATTRIBUTE diff_Dep_prep NUMERIC
@ATTRIBUTE semSim_Dep_prep NUMERIC
@ATTRIBUTE lexSim_Dep_prep NUMERIC
@ATTRIBUTE diff_Dep_xsubj NUMERIC
@ATTRIBUTE semSim_Dep_xsubj NUMERIC
@ATTRIBUTE lexSim_Dep_xsubj NUMERIC
@ATTRIBUTE diff_All NUMERIC
@ATTRIBUTE overallLexsim NUMERIC

@DATA
no,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.864804145075,0.749837855365,0,0,0.759256602365,0.763386285369,0,0.789473684211,0,0,1.0,1.0,0,0,0.720554272517,0.0407993338884,0,0,0,1.0,0.844732589149,0.72701315255,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0.741535779124,0.735931011762,0,0.556865044627,0,0,0,0,3,0.844493455844,0.823556684694,1,0.738317466883,0.766271409676,0,0,0,0,0,0,1,0.833333333333,0.833333333333,1,0.833333333333,0.833333333333,2,0.166666666667,0.0213669876834,0,0,0,3,0.130911765353,0.01171875,0,0,0,0,0.681212418373,0.680880192944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.03125,0.0144892340995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0.0625,0.625,3,0.75,0.75,1,0.583333333333,0.586092351808,0,0,0,5,0.823995263613
yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657473737089,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,0,0,0.609962386905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.657473737089,0.609962386905,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76486577359,0.754160109848,0,0,0,0,0.542439042782,0.518899665359,0,0,0,0,0.678628910423,0.666666666667,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6125,0.590277777778,0,0.694444444444,0.674603174603,0,0,0,0,0.900087611865
yes,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647167841981,1.0,0,0,0,0.727272727273,0,1.0,0,0,0.0,1.0,0,0,0.707106781187,1.0,0,0,0,0,0.473886523182,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560315525728,0,1.0,0,0,0,0,2,0.692166636861,0.562397095914,0,0.816326530612,0.735486957049,0,1.0,1.0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0.367953417192,0.256266052991,0,0,0,2,0.26626027236,0.265887689734,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333,0.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.49375,0.4734375,2,0.0548245614035,0.0208333333333,0,0,0,3,0.723039005843
no,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0.292694920001,0.180327868852,1.0,0,0.64801686794,0,0,0,0,0,0,0.933345606203,0,0,0.0,0.0504678932578,0,0,0,0,0.0339845214428,0.0204060385216,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.589250538119,0,0,0,0,0,0,0,1,0.679777986873,0.581097202739,0,0.445649508708,0.463761364176,0,0,0,3,0,0,0,0,0,0,0,0,3,0.223286138028,0.215267772231,0,0,0,0,0.53252054472,0.503343568226,0,0,0,0,0,0,0,0,0,0,0,0.0416666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0464658436733,0.00521555388169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568039500009,0.512149910716,0,0.05,0.0142857142857,0,0,0,2,0.525803039614
yes,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855186110494,0,0,0,1.0,1.0,0,0,0,1.0,0,1.0,0,0,0.707106781187,1.0,0,0,0,1.0,0.825466861961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.124513618677,0,0,0,1.0,0,0,4,0.671732652439,0.647832017143,0,1.0,0.707412223667,0,0,0,0,1.0,1.0,0,0,0,0,0,0,3,0.437233816748,0.230044359929,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.833333333333,0.833333333333,1,0,0,0,0,0,5,0.799030682626
no,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1.0,0,0.360171560139,0,0,0.622543017479,0,0,0,0,0,1.0,0,0,0.553295362083,0,0,0,0,0,1.0,0,0.302441376558,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.15056857385,0,0,0,0,0,0,1,0.737827425176,0.715301431729,0,0.789473684211,0.581314878893,0,0,0,0,0,0,0,0,0,0,0,0,3,0.394033739495,0.375,0,0,0,0,1.0,1.0,0,0,0,1,0.329556325949,0.365643930673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0.75,0.75,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0,1.0,1,0.464941382007,0.4447260849,0,0,0,3,0.750093333402
no,1,0,0,0,1,1,0,0,0,1,2,1,2,0,0,0,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.730825042474,0,0.735194284396,0,0,1.0,0.707106781187,0,0,1.0,0,1.0,0,0,0.707106781187,0.031418483393,0,0,0,0,0.647975859315,0,0.735194284396,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.773957299203,0,0,1.0,0,0,3,0.806346909505,0.722243832567,3,0.707106781187,0.7575402057,0,0,0,3,0,0,1,0,0,1,0,0,5,0.172419931324,0.196536427001,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629960524947,0.541219495869,0,0.0239312157291,0.0211974935855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1.0,1.0,1,0.75,0.75,0,0,0,0,0.723953927035
no,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.851158947122,0,0.687681012758,0,0,0,1.0,0,0,0.0905357460425,0,0.859550561798,0,0,0,0.1365491097,0,0,0,0,0.772775680551,0,0.667504349766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0950226244344,0,0,3,0.814707699965,0.719827573513,1,0.550798678024,0.457948325053,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0750540456181,0.0125977965723,0,0,0,3,0.0674957705301,0.00908464010806,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0358514078028,0.0153469726044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0.50686416671,0.352697500044,1,0,0,0,0,0,6,0.69425707532
yes,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.788552315321,0,1.0,0,1.0,0,0.813733471207,0,0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,0,0,0.698223284498,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0.789352217376,0,0,1.0,0,0,1,0.826077770512,0.752647657584,0,0.880972241859,0.847352024922,0,0,0,0,1.0,1.0,0,0.2,0.03125,0,0.2,0.03125,3,0.625,0.625,0,0,0,0,1.0,1.0,0,0,0,3,0.382899451666,0.342704608885,0,0,0,3,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.433333333333,1,0.39939040854,0.437448389841,0,0,0,4,0.865116854441
yes,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.649219597305,0,0,0.857492925713,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,0.626342479348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763386285369,0,1.0,0,0,0,0,1,0.656251093477,0.607435427603,0,0.821994936527,0.891891891892,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1148698355,0.0159671429477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.840896415254,0.840896415254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0.5,0,0,0,1,0.742371082488
no,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.790125883167,0,0,0,0,0.0665190105238,0,0.246153846154,0,0,0,0.0,0,0,0,0.237376556472,0,0,0,0,0.685527747552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831889081456,0,0.756245779878,0,0,0,0,2,0.669134109282,0.545639001355,1,0.19606218314,0.419258019115,3,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.11603042027,0.0106408298864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0.0416666666667,0.0142857142857,0,0,0,0,0,0,0,0.491368394169
yes,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741091636365,0.787009439381,1.0,0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0.893405147442,0,0,0,0,0,0.722069117867,0.722074890066,1.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,1.0,0,0,1.0,0,1.0,1,0.98413566261,0.963755391575,0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0.875,0.875,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,0.75,0,0,0,6,0.353154364786,0.353154364786,2,0,0,0,0,0,3,0.442708333333,0.447530864198,1,0.875,0.875,0,0,0,4,0.955001434449
no,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.759256602365,0.745241313525,0.511362817768,0,0,0.0665190105238,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,0,0.721104710287,0.726468416955,0.435961373713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132743362832,0,0,0,0,0,0,1,0.679888248722,0.73758384027,0,0.0665190105238,0.132743362832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666667,0.0666666666667,0,0,0,3,0,0,0,0,0,1,0.09375,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.561231024155,0.561231024155,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,0.0496623325481,0.0713524269002,0,0,0,2,0.621294254825
no,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.844580588106,0,0.219512195122,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831331843625,0,0,0,0,1.0,0,0,0,0,0,0,0,0.188764044944,1.0,0,0,0,0,0,0,1,0.649835738048,0.626521372389,0,0.60736196319,0.592550790068,0,0,0,0,0,0,0,0,0,0,0,0,3,0.384751681765,0.384751681765,0,0,0,3,0.39939040854,0.379755909148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909091,0.0181818181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.791024030971
no,0,2,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.63820156442,0,1.0,0,1.0,0.707106781187,0,0,0,0,0,0.57735026919,0,0,0.498342598585,0.934487734929,0,0,0,0,0.517001763175,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.735931011762,0,0,0,0,0,0,2,0.678478320392,0.589104473965,2,0.785113686308,0.747058823529,0,0,0,0,0,0,0,0,0,0,0,0,3,0.392735296058,0.392735296058,0,0,0,0,1.0,1.0,0,0,0,0,0.0910197147295,0.0986633897843,0,0,0,0,0,0,0,0.629960524947,0.519629613016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0.536842105263,0.4765625,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.046875,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.395833333333,0,0.0132134123889,0.0130621566297,0,0,0,2,0.717354524419
no,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0.477675656205,1.0,0,0,0,0.894427191,0,0.777777777778,1.0,0,1.0,1.0,0,0,0.878458591919,1.0,0,0,0,0,0.459726283512,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781187,0,0.660919364362,1.0,0,0,0,2,0.681184803558,0.648559847475,3,0.927172649946,0.796267269624,3,0.75,0.39160266841,0,0,0,0,1.0,1.0,0,1.0,1.0,1,0.39160266841,0.405022402085,0,0,0,0,0,0,0,0,0,1,0.451388888889,0.451388888889,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073121665313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1.0,1.0,1,0.436153855005,0.426410260836,0,0,0,0,0.796772547322
yes,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578268857844,0,0.842933214999,0,0,1.0,0,1.0,0,0,0,0.933345606203,0,0,0.773957299203,0,0,0,0,0,0.530990727184,0,0.704999158333,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,1,0.775881226367,0.662408368443,0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333333333,0.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,0.75,0.75,1,0.833333333333,0.833333333333,0,0,0,5,0.810084454384
